stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_33_1,raw,411,295,5.618999874352224,6.60174560546875,0.9190023836163785,4
sc_33_1,telea,411,295,10.058758906372532,2.47967529296875,0.13104783691306138,2
sc_33_1,navier_stokes,411,295,7.943413914882652,7.37518310546875,0.0,0
sc_33_1,lama_manual_mask,411,295,4.559648280368823,6.15447998046875,2.8491770991786063,5
sc_33_1,lama_dilated,411,295,5.601601878194177,-3.45001220703125,0.5124596808674481,2
sc_33_1,lama_auto,411,295,6.221239131552641,-5.00762939453125,0.0,0
sc_33_11,raw,111,96,8.976470709068145,11.88153076171875,0.0,0
sc_33_11,telea,111,96,8.982224848562437,14.42156982421875,0.0,0
sc_33_11,navier_stokes,111,96,9.497698657387085,15.92694091796875,0.0,0
sc_33_11,lama_manual_mask,111,96,10.592461270477301,21.04315185546875,0.0,0
sc_33_11,lama_dilated,111,96,10.535143246711147,19.82098388671875,0.0,0
sc_33_11,lama_auto,111,96,9.445837742300098,21.18035888671875,0.0,0
sc_33_12,raw,117,96,6.764217739521914,10.63592529296875,0.5114037814080525,1
sc_33_12,telea,117,96,8.76598415957296,10.37420654296875,0.0,0
sc_33_12,navier_stokes,117,96,9.390773544717256,10.17889404296875,0.0,0
sc_33_12,lama_manual_mask,117,96,8.204052881500932,13.55975341796875,0.0,0
sc_33_12,lama_dilated,117,96,8.399760718961485,16.01043701171875,0.0,0
sc_33_12,lama_auto,117,96,9.557043729752133,15.97967529296875,0.0,0
sc_33_13,raw,116,96,7.559097614374637,50.22869873046875,0.0,0
sc_33_13,telea,116,96,7.824312380012298,49.89471435546875,0.0,0
sc_33_13,navier_stokes,116,96,7.909533399141706,52.09393310546875,0.0,0
sc_33_13,lama_manual_mask,116,96,7.8282034912084075,50.81658935546875,0.0,0
sc_33_13,lama_dilated,116,96,7.7465204760819635,46.72381591796875,0.0,0
sc_33_13,lama_auto,116,96,7.743290040515194,46.60858154296875,0.0,0
sc_33_14,raw,118,96,7.099815521300461,28.40057373046875,0.0,0
sc_33_14,telea,118,96,6.44591810969321,23.08612060546875,0.0,0
sc_33_14,navier_stokes,118,96,6.387873555160703,25.58416748046875,0.0,0
sc_33_14,lama_manual_mask,118,96,5.948280130043589,23.42889404296875,0.0,0
sc_33_14,lama_dilated,118,96,5.089528295366484,22.83807373046875,0.0,0
sc_33_14,lama_auto,118,96,5.712285762091392,24.11932373046875,0.0,0
sc_33_15,raw,119,106,7.278370964645744,19.29217529296875,0.9559501402155097,1
sc_33_15,telea,119,106,6.765705285385005,19.10858154296875,0.0,0
sc_33_15,navier_stokes,119,106,6.81163370136496,23.56951904296875,0.0,0
sc_33_15,lama_manual_mask,119,106,5.882840357847054,19.86346435546875,0.0,0
sc_33_15,lama_dilated,119,106,6.164004003912559,13.93182373046875,0.0,0
sc_33_15,lama_auto,119,106,6.163968029997483,10.13299560546875,0.0,0
sc_33_16,raw,117,96,16.060703950419768,8.25994873046875,1.9599416583304388,2
sc_33_16,telea,117,96,13.254933884529043,18.03240966796875,0.0,0
sc_33_16,navier_stokes,117,96,12.852826704652427,17.41229248046875,0.0,0
sc_33_16,lama_manual_mask,117,96,14.605173968440635,13.62713623046875,0.0,0
sc_33_16,lama_dilated,117,96,15.26145875575751,11.50701904296875,0.0,0
sc_33_16,lama_auto,117,96,14.76126495753216,10.98846435546875,0.0,0
sc_33_17,raw,126,96,14.586188635324259,39.28240966796875,1.4413605781397074,3
sc_33_17,telea,126,96,12.941067570017026,32.48846435546875,0.0,0
sc_33_17,navier_stokes,126,96,12.504236411908087,36.50604248046875,0.0,0
sc_33_17,lama_manual_mask,126,96,12.107284514756648,28.32928466796875,0.0,0
sc_33_17,lama_dilated,126,96,11.720919154190327,24.30096435546875,0.0,0
sc_33_17,lama_auto,126,96,12.734578107798312,27.97283935546875,0.0,0
sc_33_18,raw,124,125,9.317748638781744,16.12420654296875,1.513633990560792,2
sc_33_18,telea,124,125,11.318211690841025,12.85369873046875,0.0,0
sc_33_18,navier_stokes,124,125,11.209302766759086,16.02557373046875,0.0,0
