stem,method,remove_score
sc_h_14,swin2sr,0.8564386367797852
sc_h_14,realesrgan,0.8826099634170532
sc_h_14,aesrgan,0.8782184720039368
sc_h_15,lama_dilated,0.9448997974395752
sc_h_15,swin2sr,0.9204808473587036
sc_h_15,realesrgan,0.9332743287086487
sc_h_15,aesrgan,0.9347695112228394
sc_h_16,lama_dilated,0.760788083076477
sc_h_16,swin2sr,0.8280773758888245
sc_h_16,realesrgan,0.638280987739563
sc_h_16,aesrgan,0.5691500902175903
sc_h_17,lama_dilated,0.9332414865493774
sc_h_17,swin2sr,0.9284738302230835
sc_h_17,realesrgan,0.916075587272644
sc_h_17,aesrgan,0.9168552756309509
sc_h_18,lama_dilated,0.8962168097496033
sc_h_18,swin2sr,0.881793200969696
sc_h_18,realesrgan,0.8812682628631592
sc_h_18,aesrgan,0.9001814126968384
sc_h_19,lama_dilated,0.8881787657737732
sc_h_19,swin2sr,0.891109824180603
sc_h_19,realesrgan,0.9182372093200684
sc_h_19,aesrgan,0.9091851711273193
sc_h_20,lama_dilated,0.8991102576255798
sc_h_20,swin2sr,0.8477553725242615
sc_h_20,realesrgan,0.862855076789856
sc_h_20,aesrgan,0.8705440759658813
sc_h_21,lama_dilated,0.9009170532226562
sc_h_21,swin2sr,0.8717544078826904
sc_h_21,realesrgan,0.8706260919570923
sc_h_21,aesrgan,0.8563554286956787
sc_h_22,lama_dilated,0.8823634386062622
sc_h_22,swin2sr,0.7547770142555237
sc_h_22,realesrgan,0.8906856179237366
sc_h_22,aesrgan,0.8044977188110352
sc_h_23,lama_dilated,0.8471362590789795
sc_h_23,swin2sr,0.7991886138916016
sc_h_23,realesrgan,0.8343613147735596
sc_h_23,aesrgan,0.851250946521759
sc_h_24,lama_dilated,0.9285866618156433
sc_h_24,swin2sr,0.8983996510505676
sc_h_24,realesrgan,0.9223435521125793
sc_h_24,aesrgan,0.9297666549682617
sc_h_25,lama_dilated,0.788689374923706
sc_h_25,swin2sr,0.6726877689361572
sc_h_25,realesrgan,0.8046108484268188
sc_h_25,aesrgan,0.8307313919067383
sc_h_26,lama_dilated,0.8651701807975769
sc_h_26,swin2sr,0.7129677534103394
sc_h_26,realesrgan,0.7666932344436646
sc_h_26,aesrgan,0.7522191405296326
sc_h_27,lama_dilated,0.9077916145324707
sc_h_27,swin2sr,0.8070163726806641
sc_h_27,realesrgan,0.7722780704498291
sc_h_27,aesrgan,0.848259687423706
sc_h_28,lama_dilated,0.8764296770095825
sc_h_28,swin2sr,0.8967694640159607
sc_h_28,realesrgan,0.8857929706573486
sc_h_28,aesrgan,0.890886127948761
sc_h_29,lama_dilated,0.7685538530349731
sc_h_29,swin2sr,0.7574822902679443
sc_h_29,realesrgan,0.7951687574386597
sc_h_29,aesrgan,0.8075861930847168
sc_h_3,lama_dilated,0.3888731002807617
sc_h_3,swin2sr,0.36802610754966736
sc_h_3,realesrgan,0.2195367068052292
sc_h_3,aesrgan,0.24251216650009155
sc_h_30,lama_dilated,0.8961562514305115
