stem,method,region_h,region_w,niqe,brisque
sc_33_1,lama_dilated,412,298,5.893139362681383,-5.04083251953125
sc_33_1,realesrgan,1530,1071,6.284313444998936,24.94744873046875
sc_33_1,aesrgan,1530,1071,4.1083764440868675,-11.74688720703125
sc_33_11,lama_dilated,112,96,10.522218410810398,17.36444091796875
sc_33_11,swin2sr,343,224,13.95614032815092,106.46783447265625
sc_33_11,realesrgan,328,214,4.617147558529609,22.77947998046875
sc_33_11,aesrgan,328,214,6.485734111960818,15.00506591796875
sc_33_12,lama_dilated,117,96,8.399760718961485,16.01043701171875
sc_33_12,swin2sr,364,225,12.1271163997731,65.86199951171875
sc_33_12,realesrgan,348,216,4.5651438412617225,17.60174560546875
sc_33_12,aesrgan,348,216,8.012454128268068,6.76092529296875
sc_33_13,lama_dilated,118,96,6.981310551765733,49.85858154296875
sc_33_13,swin2sr,368,207,9.006137310931864,39.43670654296875
sc_33_13,realesrgan,352,198,9.883554748926697,16.70819091796875
sc_33_13,aesrgan,352,198,7.4066627784128425,-1.58282470703125
sc_33_14,lama_dilated,123,96,5.21952102153655,20.40740966796875
sc_33_14,swin2sr,391,236,7.585460551800716,33.32928466796875
sc_33_14,realesrgan,374,227,8.67723402960112,16.99920654296875
sc_33_14,aesrgan,374,227,6.228484228994383,5.02947998046875
sc_33_15,lama_dilated,121,108,6.684796784248552,14.96697998046875
sc_33_15,swin2sr,382,324,12.297013090907527,54.49627685546875
sc_33_15,realesrgan,367,311,7.796640110093639,16.68280029296875
sc_33_15,aesrgan,367,311,8.516481878700034,-6.46466064453125
sc_33_16,lama_dilated,120,96,13.408182151934277,7.65643310546875
sc_33_16,swin2sr,376,219,15.831452509427569,78.49530029296875
sc_33_16,realesrgan,360,210,14.26867956327902,30.20916748046875
sc_33_16,aesrgan,360,210,15.19368241609113,20.68280029296875
sc_33_17,lama_dilated,128,96,12.45483359433236,24.87420654296875
sc_33_17,swin2sr,409,223,16.57106942160353,79.65643310546875
sc_33_17,realesrgan,393,214,10.191492686598552,27.92401123046875
sc_33_17,aesrgan,393,214,11.774259913645478,14.21307373046875
sc_33_18,lama_dilated,125,126,9.770566356098508,5.01873779296875
sc_33_18,swin2sr,396,413,11.590333360991051,49.56658935546875
sc_33_18,realesrgan,380,397,10.487593955178692,8.99822998046875
sc_33_18,aesrgan,380,397,12.780291150276447,-2.06036376953125
sc_33_19,lama_dilated,162,122,10.538398912412449,8.49530029296875
sc_33_19,swin2sr,556,383,9.852436485377256,44.69354248046875
sc_33_19,realesrgan,534,367,8.023069569201798,13.09490966796875
sc_33_19,aesrgan,534,367,7.742758059914447,-9.14923095703125
sc_33_20,lama_dilated,123,96,12.373572688938754,16.01580810546875
sc_33_20,swin2sr,387,243,14.918292216715175,73.16229248046875
sc_33_20,realesrgan,371,234,14.620967033074253,19.82440185546875
sc_33_20,aesrgan,371,234,10.67327443150758,2.07244873046875
sc_33_21,lama_dilated,123,109,8.213320586044878,19.28533935546875
sc_33_21,swin2sr,389,329,11.296870813604157,48.84393310546875
sc_33_21,realesrgan,372,317,4.840103305281357,45.07147216796875
sc_33_21,aesrgan,372,317,7.65593664517546,23.70526123046875
sc_33_22,lama_dilated,110,96,10.463014450436097,55.12420654296875
sc_33_22,swin2sr,377,229,8.657743799674828,57.52557373046875
sc_33_22,realesrgan,361,222,6.308065407358158,18.89178466796875
sc_33_22,aesrgan,361,222,6.264730102790082,42.25408935546875
sc_33_23,lama_dilated,116,119,6.773369547223376,21.00018310546875
