stem,method,remove_score
sc_33_31,navier_stokes,0.9021894931793213
sc_33_31,lama_manual_mask,0.9123631715774536
sc_33_31,lama_dilated,0.9208887219429016
sc_33_31,lama_auto,0.9097898006439209
sc_33_32,raw,0.7545269131660461
sc_33_32,telea,0.7767010927200317
sc_33_32,navier_stokes,0.793464183807373
sc_33_32,lama_manual_mask,0.7845814228057861
sc_33_32,lama_dilated,0.8182251453399658
sc_33_32,lama_auto,0.7818171381950378
sc_33_33,raw,0.7330968379974365
sc_33_33,telea,0.8414140343666077
sc_33_33,navier_stokes,0.8491978645324707
sc_33_33,lama_manual_mask,0.792402446269989
sc_33_33,lama_dilated,0.8047853112220764
sc_33_33,lama_auto,0.8018451929092407
sc_33_34,raw,0.8810147047042847
sc_33_34,telea,0.8655908107757568
sc_33_34,navier_stokes,0.8886165618896484
sc_33_34,lama_manual_mask,0.8521507382392883
sc_33_34,lama_dilated,0.9094815254211426
sc_33_34,lama_auto,0.9026601910591125
sc_33_35,raw,0.7084622383117676
sc_33_35,telea,0.7589386701583862
sc_33_35,navier_stokes,0.7346368432044983
sc_33_35,lama_manual_mask,0.7278506755828857
sc_33_35,lama_dilated,0.7981470823287964
sc_33_35,lama_auto,0.7817865014076233
sc_33_36,raw,0.7907394170761108
sc_33_36,telea,0.7522304654121399
sc_33_36,navier_stokes,0.8737287521362305
sc_33_36,lama_manual_mask,0.9157499670982361
sc_33_36,lama_dilated,0.897727370262146
sc_33_36,lama_auto,0.8955779075622559
sc_33_37,raw,0.8436579704284668
sc_33_37,telea,0.8541725873947144
sc_33_37,navier_stokes,0.859606146812439
sc_33_37,lama_manual_mask,0.7969048023223877
sc_33_37,lama_dilated,0.8338923454284668
sc_33_37,lama_auto,0.835941731929779
sc_33_38,raw,0.6357433795928955
sc_33_38,telea,0.8144875764846802
sc_33_38,navier_stokes,0.8095495104789734
sc_33_38,lama_manual_mask,0.7973162531852722
sc_33_38,lama_dilated,0.802833080291748
sc_33_38,lama_auto,0.8053313493728638
sc_33_39,raw,0.7501236200332642
sc_33_39,telea,0.7162151336669922
sc_33_39,navier_stokes,0.7510422468185425
sc_33_39,lama_manual_mask,0.8346377611160278
sc_33_39,lama_dilated,0.8774081468582153
sc_33_39,lama_auto,0.8755278587341309
sc_33_40,raw,0.6693013906478882
sc_33_40,telea,0.7217333316802979
sc_33_40,navier_stokes,0.7642472982406616
sc_33_40,lama_manual_mask,0.7707123756408691
sc_33_40,lama_dilated,0.8109918832778931
sc_33_40,lama_auto,0.8186715245246887
sc_h_1,raw,0.5969935655593872
sc_h_1,telea,0.6354237794876099
sc_h_1,navier_stokes,0.5998282432556152
sc_h_1,lama_manual_mask,0.6195537447929382
sc_h_1,lama_dilated,0.6495378017425537
sc_h_1,lama_auto,0.6055703163146973
sc_h_10,raw,0.6241214275360107
sc_h_10,telea,0.8099501132965088
sc_h_10,navier_stokes,0.7065145969390869
sc_h_10,lama_manual_mask,0.6867812275886536
sc_h_10,lama_dilated,0.8208074569702148
sc_h_10,lama_auto,0.8729414939880371
sc_h_11,raw,0.3247021436691284
sc_h_11,telea,0.44801101088523865
sc_h_11,navier_stokes,0.41315317153930664
sc_h_11,lama_manual_mask,0.5052816867828369
sc_h_11,lama_dilated,0.8783664703369141
sc_h_11,lama_auto,0.9298768043518066
sc_h_12,raw,0.7439020872116089
sc_h_12,telea,0.7452409267425537
sc_h_12,navier_stokes,0.7339967489242554
sc_h_12,lama_manual_mask,0.6815624237060547
sc_h_12,lama_dilated,0.713992714881897
sc_h_12,lama_auto,0.6836352348327637
sc_h_13,raw,0.2753584682941437
sc_h_13,telea,0.5827001929283142
sc_h_13,navier_stokes,0.511289656162262
sc_h_13,lama_manual_mask,0.42535579204559326
sc_h_13,lama_dilated,0.8691180348396301
sc_h_13,lama_auto,0.7671971321105957
sc_h_14,raw,0.6794352531433105
sc_h_14,telea,0.6056345701217651
sc_h_14,navier_stokes,0.7165737152099609
sc_h_14,lama_manual_mask,0.7682080268859863
sc_h_14,lama_dilated,0.8951361179351807
sc_h_14,lama_auto,0.8931292295455933
sc_h_15,raw,0.2640987038612366
