image,sr_method,input_niqe,sr_niqe,niqe_improvement,input_brisque,sr_brisque,brisque_improvement,input_remove,sr_remove,remove_improvement,niqe_result,brisque_result,remove_result
sc_33_23,realesrgan,6.773369547223376,5.375594463059573,1.3977750841638024,21.00018310546875,6.56072998046875,14.439453125,0.908036470413208,0.8486559391021729,-0.059380531311035156,Improved,Improved,Worsened
sc_33_24,realesrgan,10.44233205751966,9.4824004362637,0.9599316212559597,34.45623779296875,34.52362060546875,-0.0673828125,0.8968496322631836,0.9067459106445312,0.009896278381347656,Improved,Worsened,Improved
sc_33_25,realesrgan,4.756055129464374,4.120978661526373,0.635076467938001,33.02362060546875,17.50701904296875,15.5166015625,0.8065935373306274,0.7318580150604248,-0.07473552227020264,Improved,Improved,Worsened
sc_33_26,realesrgan,10.426844627626425,5.195715905583207,5.231128722043217,22.31317138671875,27.86541748046875,-5.55224609375,0.9066964387893676,0.9047298431396484,-0.0019665956497191273,Improved,Worsened,Worsened
sc_33_27,realesrgan,10.014427324399511,7.9070138174732625,2.1074135069262487,52.66912841796875,12.62518310546875,40.0439453125,0.8900061845779419,0.8670586347579956,-0.02294754981994629,Improved,Improved,Worsened
sc_33_28,realesrgan,5.094938665722212,6.141311631566516,-1.046372965844304,29.22967529296875,5.83807373046875,23.3916015625,0.8875241875648499,0.8326699733734131,-0.05485421419143677,Worsened,Improved,Worsened
sc_33_29,realesrgan,8.639535319049042,9.832859192498464,-1.1933238734494225,30.90350341796875,19.28826904296875,11.615234375,0.8764435052871704,0.9035659432411194,0.027122437953948975,Worsened,Improved,Improved
sc_33_30,realesrgan,4.787691084624294,3.4541960615253218,1.3334950230989722,18.93084716796875,7.95037841796875,10.98046875,0.8884524703025818,0.7559404373168945,-0.13251203298568726,Improved,Improved,Worsened
sc_33_31,realesrgan,9.765247261003564,8.094672953743373,1.6705743072601908,21.50408935546875,58.52947998046875,-37.025390625,0.9175323247909546,0.8989089727401733,-0.01862335205078125,Improved,Worsened,Worsened
sc_33_32,realesrgan,9.337893803230436,5.830232898521424,3.507660904709012,52.61053466796875,14.19940185546875,38.4111328125,0.8028961420059204,0.7399224638938904,-0.06297367811203003,Improved,Improved,Worsened
sc_33_33,realesrgan,4.7711824948694765,5.237188271644498,-0.4660057767750212,14.06170654296875,29.06854248046875,-15.0068359375,0.8047149777412415,0.7057763934135437,-0.09893858432769775,Worsened,Worsened,Worsened
sc_33_34,realesrgan,12.161801198750648,13.123856130158064,-0.9620549314074154,18.71502685546875,36.06756591796875,-17.3525390625,0.9094831943511964,0.8826086521148682,-0.026874542236328236,Worsened,Worsened,Worsened
sc_33_35,realesrgan,4.832198490521072,5.374624246794132,-0.5424257562730599,10.31561279296875,22.33514404296875,-12.01953125,0.7979444265365601,0.7239446640014648,-0.07399976253509521,Worsened,Worsened,Worsened
sc_33_36,realesrgan,13.368252834780373,9.032271064795813,4.33598176998456,20.76531982421875,42.43963623046875,-21.67431640625,0.910757541656494,0.9177031517028807,0.006945610046386719,Improved,Worsened,Improved
sc_33_37,realesrgan,8.3365746058876,6.628949286596736,1.7076253192908641,48.44842529296875,13.54022216796875,34.908203125,0.8116345405578613,0.8005821704864502,-0.011052370071411133,Improved,Improved,Worsened
sc_33_38,realesrgan,6.35117823511506,5.241926134979084,1.1092521001359756,27.57635498046875,37.44256591796875,-9.8662109375,0.8073179721832275,0.7915475368499756,-0.015770435333251953,Improved,Worsened,Worsened
sc_33_39,realesrgan,11.617620659416833,12.193295274953089,-0.575674615536256,10.86834716796875,28.63104248046875,-17.7626953125,0.8873836398124695,0.8479824066162109,-0.039401233196258545,Worsened,Worsened,Worsened
