stem,method,niqe ↓,brisque ↓,ocr_conf_sum ↓,remove_score ↑,conclusion,conlcusion (visual)
sc_33_1,raw,5.618999874352224,6.60174560546875,0.9190023836163784,0.7491569519042969,,
sc_33_1,telea,10.058758906372532,2.47967529296875,0.1310478369130613,0.7247234582901001,,
sc_33_1,navier_stokes,7.943413914882652,7.37518310546875,0.0,0.7299824953079224,,
sc_33_1,lama_manual_mask,4.559648280368823,6.15447998046875,2.8491770991786063,0.7500453591346741,✔️,
sc_33_1,lama_dilated,5.601601878194177,-3.45001220703125,0.5124596808674481,0.7464850544929504,,
sc_33_1,lama_auto,6.221239131552641,-5.00762939453125,0.0,0.7649405002593994,✔️,✔️
sc_33_11,raw,8.976470709068145,11.88153076171875,0.0,0.5913712978363037,✔️,
sc_33_11,telea,8.982224848562437,14.42156982421875,0.0,0.7827229499816895,,
sc_33_11,navier_stokes,9.497698657387083,15.92694091796875,0.0,0.8561714887619019,,
sc_33_11,lama_manual_mask,10.5924612704773,21.04315185546875,0.0,0.8839444518089294,,
sc_33_11,lama_dilated,10.535143246711147,19.82098388671875,0.0,0.8878481388092041,✔️,
sc_33_11,lama_auto,9.445837742300098,21.18035888671875,0.0,0.8727004528045654,✔️,
sc_33_12,raw,6.764217739521914,10.63592529296875,0.5114037814080525,0.3456044197082519,✔️,
sc_33_12,telea,8.76598415957296,10.37420654296875,0.0,0.5996220111846924,,
sc_33_12,navier_stokes,9.390773544717256,10.17889404296875,0.0,0.7266010046005249,✔️,
sc_33_12,lama_manual_mask,8.204052881500932,13.55975341796875,0.0,0.8978267908096313,,
sc_33_12,lama_dilated,8.399760718961485,16.01043701171875,0.0,0.9031728506088256,✔️,
sc_33_12,lama_auto,9.557043729752133,15.97967529296875,0.0,0.9026190042495728,✔️,
sc_33_13,raw,7.559097614374637,50.22869873046875,0.0,0.5129478573799133,✔️,
sc_33_13,telea,7.824312380012298,49.89471435546875,0.0,0.6487515568733215,,
sc_33_13,navier_stokes,7.909533399141706,52.09393310546875,0.0,0.7070903182029724,✔️,
sc_33_13,lama_manual_mask,7.828203491208407,50.81658935546875,0.0,0.6348023414611816,,
sc_33_13,lama_dilated,7.7465204760819635,46.72381591796875,0.0,0.6921894550323486,,✔️
sc_33_13,lama_auto,7.743290040515194,46.60858154296875,0.0,0.696274995803833,✔️,✔️
sc_33_14,raw,7.099815521300461,28.40057373046875,0.0,0.6541529893875122,,
sc_33_14,telea,6.44591810969321,23.08612060546875,0.0,0.8032366037368774,,
sc_33_14,navier_stokes,6.387873555160703,25.58416748046875,0.0,0.8412411212921143,,
sc_33_14,lama_manual_mask,5.948280130043589,23.42889404296875,0.0,0.8405213356018066,,
sc_33_14,lama_dilated,5.089528295366484,22.83807373046875,0.0,0.860466480255127,✔️,
sc_33_14,lama_auto,5.712285762091392,24.11932373046875,0.0,0.8470386266708374,✔️,
sc_33_15,raw,7.278370964645744,19.29217529296875,0.9559501402155096,0.5731780529022217,,
sc_33_15,telea,6.765705285385005,19.10858154296875,0.0,0.6066622138023376,,
sc_33_15,navier_stokes,6.81163370136496,23.56951904296875,0.0,0.6226915121078491,,
sc_33_15,lama_manual_mask,5.882840357847054,19.86346435546875,0.0,0.6978963613510132,✔️,
sc_33_15,lama_dilated,6.164004003912559,13.93182373046875,0.0,0.6702331304550171,,✔️
sc_33_15,lama_auto,6.163968029997483,10.13299560546875,0.0,0.6944082975387573,✔️,✔️
sc_33_16,raw,16.060703950419768,8.25994873046875,1.9599416583304388,0.2879299521446228,✔️,
sc_33_16,telea,13.254933884529043,18.03240966796875,0.0,0.8158755302429199,,
sc_33_16,navier_stokes,12.852826704652427,17.41229248046875,0.0,0.8550444841384888,✔️,
sc_33_16,lama_manual_mask,14.605173968440637,13.62713623046875,0.0,0.6220953464508057,,
sc_33_16,lama_dilated,15.26145875575751,11.50701904296875,0.0,0.9027645587921144,✔️,✔️
sc_33_16,lama_auto,14.76126495753216,10.98846435546875,0.0,0.902502715587616,✔️,✔️
sc_33_17,raw,14.58618863532426,39.28240966796875,1.4413605781397074,0.2673714458942413,,
sc_33_17,telea,12.941067570017026,32.48846435546875,0.0,0.858734130859375,,
sc_33_17,navier_stokes,12.504236411908089,36.50604248046875,0.0,0.8526277542114258,,
sc_33_17,lama_manual_mask,12.107284514756648,28.32928466796875,0.0,0.6895434856414795,,
sc_33_17,lama_dilated,11.720919154190328,24.30096435546875,0.0,0.8526915311813354,✔️,✔️
sc_33_17,lama_auto,12.734578107798312,27.97283935546875,0.0,0.868057131767273,✔️,✔️
sc_33_18,raw,9.317748638781744,16.12420654296875,1.513633990560792,0.4243722558021545,,
sc_33_18,telea,11.318211690841023,12.85369873046875,0.0,0.863371729850769,,
sc_33_18,navier_stokes,11.209302766759086,16.02557373046875,0.0,0.8344482183456421,,
sc_33_18,lama_manual_mask,8.44320815637888,9.05194091796875,0.0,0.7118499279022217,✔️,
sc_33_18,lama_dilated,9.441469782876004,8.27459716796875,0.0,0.9028505086898804,✔️,✔️
sc_33_18,lama_auto,9.057775099826117,7.53143310546875,0.0,0.7741450071334839,✔️,✔️
sc_33_19,raw,10.026128212805874,9.67010498046875,1.9792404634355407,0.5740692615509033,,
sc_33_19,telea,10.298106976279614,11.44061279296875,0.0,0.7921338081359863,,
sc_33_19,navier_stokes,9.899636177125654,12.36834716796875,0.0,0.7823977470397949,,
sc_33_19,lama_manual_mask,9.48889583646698,12.68475341796875,0.0,0.641215443611145,,
sc_33_19,lama_dilated,9.420684784078036,8.56170654296875,0.0,0.8143699169158936,✔️,✔️
sc_33_19,lama_auto,9.677536285553856,-1.63653564453125,0.0,0.8215272426605225,✔️,✔️
sc_33_20,raw,13.318426832064851,28.68377685546875,0.3209623464107407,0.5231578350067139,,
sc_33_20,telea,12.580939693804774,24.07928466796875,0.0,0.8914698362350464,✔️,
sc_33_20,navier_stokes,12.457080897800331,29.43768310546875,0.0,0.8892245292663574,,
sc_33_20,lama_manual_mask,12.008132891237963,11.12811279296875,0.0,0.7470577359199524,✔️,
sc_33_20,lama_dilated,12.507178070579064,13.62713623046875,0.0,0.7413043975830078,,✔️
sc_33_20,lama_auto,12.054930719390963,21.41033935546875,0.0,0.7566569447517395,✔️,✔️
sc_33_21,raw,8.480680832107536,24.78631591796875,1.0160243458035207,0.8446265459060669,,
sc_33_21,telea,7.931797595243688,25.74041748046875,0.0,0.8543286323547363,,
sc_33_21,navier_stokes,8.216625203741474,22.38592529296875,0.0,0.8746947646141052,,
sc_33_21,lama_manual_mask,8.123274933881854,23.89764404296875,0.0,0.8755248188972473,,
sc_33_21,lama_dilated,8.785057932303712,21.48553466796875,0.0,0.8800257444381714,✔️,✔️
sc_33_21,lama_auto,7.617011895981199,22.76483154296875,0.0,0.8649101257324219,✔️,
sc_33_22,raw,9.855483256713995,62.50018310546875,0.0,0.8244243860244751,,
sc_33_22,telea,11.157803975897377,53.85272216796875,0.0,0.8440026044845581,✔️,
sc_33_22,navier_stokes,10.091830825594554,55.52069091796875,0.0,0.840931236743927,,
sc_33_22,lama_manual_mask,9.10398238677678,54.04803466796875,0.0,0.7890511155128479,✔️,
sc_33_22,lama_dilated,10.73824064371991,54.98065185546875,0.0,0.7652796506881714,,✔️
sc_33_22,lama_auto,9.737298517017084,56.47186279296875,0.0,0.7761259078979492,✔️,
sc_33_23,raw,8.485456680431112,16.93084716796875,0.1055530969326079,0.6664068698883057,✔️,
sc_33_23,telea,8.512564485736931,24.28826904296875,0.0,0.8689252138137817,,
sc_33_23,navier_stokes,9.018303683134596,26.54217529296875,0.0,0.8758519887924194,,
sc_33_23,lama_manual_mask,10.042077020153478,17.03729248046875,0.0,0.7324508428573608,,
sc_33_23,lama_dilated,7.967724011506416,27.51385498046875,0.0,0.8976790904998779,✔️,✔️
sc_33_23,lama_auto,7.773153602236,27.79412841796875,0.0,0.8756144046783447,✔️,✔️
sc_33_24,raw,12.091889050424488,41.75213623046875,0.9206509458167303,0.7579104900360107,,
sc_33_24,telea,14.375242581570443,28.55682373046875,0.0,0.8351867198944092,✔️,
sc_33_24,navier_stokes,12.10238051313519,39.15643310546875,0.0,0.8531571626663208,,
sc_33_24,lama_manual_mask,10.722556671874385,32.10369873046875,0.0,0.8309422135353088,,
sc_33_24,lama_dilated,9.640021014472778,35.86248779296875,0.0,0.898145318031311,✔️,✔️
sc_33_24,lama_auto,9.555325159253178,30.86834716796875,0.0,0.8617023229598999,✔️,
sc_33_25,raw,7.286593447441668,29.82830810546875,0.817940982214669,0.6995935440063477,,
sc_33_25,telea,6.071260797676094,29.17303466796875,0.0,0.7498220801353455,,
