stem,method,niqe ↓,brisque ↓,remove_score ↑,conclusion,conlcusion (visual)
sc_33_1,lama_dilated,5.893139362681383,-5.04083251953125,0.7159628868103027,,
sc_33_1,realesrgan,6.284313444998936,24.94744873046875,0.7211323976516724,,
sc_33_1,aesrgan,4.108376444086868,-11.74688720703125,0.749676525592804,✔️,
sc_33_11,lama_dilated,10.522218410810398,17.36444091796875,0.9022783041000366,✔️,
sc_33_11,swin2sr,13.95614032815092,106.46783447265624,0.8057804703712463,,✔️
sc_33_11,realesrgan,4.617147558529609,22.77947998046875,0.857668399810791,✔️,
sc_33_11,aesrgan,6.485734111960818,15.00506591796875,0.8882585167884827,✔️,
sc_33_12,lama_dilated,8.399760718961485,16.01043701171875,0.9031728506088256,,
sc_33_12,swin2sr,12.1271163997731,65.86199951171875,0.8684624433517456,,
sc_33_12,realesrgan,4.5651438412617225,17.60174560546875,0.9039086103439332,✔️,
sc_33_12,aesrgan,8.012454128268068,6.76092529296875,0.9087388515472412,✔️,✔️
sc_33_13,lama_dilated,6.981310551765733,49.85858154296875,0.7773683071136475,✔️,
sc_33_13,swin2sr,9.006137310931864,39.43670654296875,0.6678956151008606,,
sc_33_13,realesrgan,9.883554748926697,16.70819091796875,0.7019359469413757,,
sc_33_13,aesrgan,7.406662778412842,-1.58282470703125,0.6986223459243774,✔️,✔️
sc_33_14,lama_dilated,5.21952102153655,20.40740966796875,0.8567471504211426,✔️,
sc_33_14,swin2sr,7.585460551800716,33.32928466796875,0.7767775654792786,,✔️
sc_33_14,realesrgan,8.67723402960112,16.99920654296875,0.849947452545166,,
sc_33_14,aesrgan,6.228484228994383,5.02947998046875,0.8551514148712158,✔️,
sc_33_15,lama_dilated,6.684796784248552,14.96697998046875,0.5931088924407959,✔️,
sc_33_15,swin2sr,12.297013090907528,54.49627685546875,0.5478333234786987,,
sc_33_15,realesrgan,7.796640110093639,16.68280029296875,0.5519232749938965,,
sc_33_15,aesrgan,8.516481878700034,-6.46466064453125,0.5589275360107422,✔️,✔️
sc_33_16,lama_dilated,13.408182151934277,7.65643310546875,0.9085381627082824,✔️,
sc_33_16,swin2sr,15.831452509427567,78.49530029296875,0.8684682250022888,,
sc_33_16,realesrgan,14.26867956327902,30.20916748046875,0.8773219585418701,,
sc_33_16,aesrgan,15.19368241609113,20.68280029296875,0.8764842748641968,,✔️
sc_33_17,lama_dilated,12.45483359433236,24.87420654296875,0.8319579362869263,,
sc_33_17,swin2sr,16.57106942160353,79.65643310546875,0.7646379470825195,,✔️
sc_33_17,realesrgan,10.191492686598552,27.92401123046875,0.8209171295166016,✔️,✔️
sc_33_17,aesrgan,11.774259913645478,14.21307373046875,0.836525022983551,✔️,✔️
sc_33_18,lama_dilated,9.770566356098508,5.01873779296875,0.907670557498932,✔️,
sc_33_18,swin2sr,11.590333360991051,49.56658935546875,0.8624473214149475,,
sc_33_18,realesrgan,10.487593955178692,8.99822998046875,0.8678491115570068,,
sc_33_18,aesrgan,12.780291150276447,-2.06036376953125,0.8795031309127808,✔️,✔️
sc_33_19,lama_dilated,10.538398912412449,8.49530029296875,0.8078644275665283,✔️,
sc_33_19,swin2sr,9.852436485377256,44.69354248046875,0.7979581356048584,,
sc_33_19,realesrgan,8.023069569201798,13.09490966796875,0.7640994787216187,,
sc_33_19,aesrgan,7.742758059914447,-9.14923095703125,0.7395495176315308,✔️,✔️
